,Ci
0,0.0
1,0.0008878973289984496
2,0.0
3,0.0
4,0.0
6,0.0
7,0.0
8,0.0
9,0.0016297806528856853
10,0.0
11,0.007221566199864967
12,0.0
13,0.0
14,0.023495478672239674
15,0.0
17,0.0007175312012593668
18,0.0
19,0.0
20,0.0
21,0.0
22,0.011302570911383257
23,0.0
24,0.0
25,0.0
26,0.0015465283484199484
27,0.0
28,0.0
29,0.0
30,0.0
31,0.016083500464391273
32,0.05903614581775922
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0025382037249713453
39,0.0
40,0.0
41,0.07378780938778164
42,0.03355909317676027
43,0.03149906978032276
44,0.0
45,0.01907533866699772
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,8.187208129541276e-05
53,0.0005954672444533351
54,0.004118636621196417
55,0.0
56,0.0009536900033005577
57,0.00037009967882596683
58,0.00013585207088801583
59,0.0003572223314347111
60,0.0
61,0.00013585207088801583
62,0.0013753877229822351
64,0.0
65,0.001101193513107377
66,0.0
67,0.0
68,0.0004990007319658461
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.021994038293035603
78,0.0
80,0.0003595927474526627
81,0.00013585207088801583
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0035058035110445062
90,0.0015465283484199484
91,0.004292214762496921
92,0.00993549041286737
93,0.00290733542823371
94,0.0024433626735603266
95,0.0009536900033005577
96,0.00732114180922815
97,0.0
98,0.0
99,0.016064838689721948
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0003572223314347111
112,0.0
113,0.0003230184426743242
114,0.021994038293035603
115,0.0
116,0.0
117,0.0005954672444533351
118,0.016640463102845237
119,0.005182328169572954
120,0.02815592946705279
121,0.016031230379197924
122,0.0006121917075728261
123,0.008699113670641785
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.00035225860982910886
130,0.0024433626735603266
131,0.0
132,0.01915636327967385
133,0.0003572223314347111
134,0.0384278734481065
135,0.0
137,0.0
138,0.0
139,0.04005442890737821
140,0.0
141,0.0003595927474526627
142,0.0036639824139299074
143,0.0016297806528856853
144,0.0
145,0.0
146,0.0
147,0.0
148,0.016640463102845237
149,0.0004458340506574751
150,0.002982674562901783
151,0.0
152,0.0
153,0.0004990007319658461
154,0.0004623447392478669
155,0.0
156,0.0
157,0.0003595927474526627
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0005954672444533351
164,0.0
165,0.0003230184426743242
167,0.0026613257346740217
168,0.005152583225634464
169,0.019956425424824342
171,0.0
172,0.0
173,0.0004990007319658461
174,0.0
175,0.00037009967882596683
176,0.0
177,0.0
178,0.00037009967882596683
179,0.0
180,0.0
181,0.0
182,0.0
183,0.031885635447447734
184,0.0
185,0.0
186,0.0004990007319658461
187,0.015103489703718234
188,0.0
189,0.0004990007319658461
190,0.0
192,0.0
193,0.017839523719891615
194,0.0
195,0.011142457634441563
196,0.0
197,0.0
198,0.0
199,0.0
200,0.016683702923417226
201,0.0
202,0.0003572223314347111
203,0.0015465283484199484
204,0.00732114180922815
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0003595927474526627
218,0.0
219,0.0003230184426743242
220,0.0
221,0.0
222,0.0
223,0.0
224,0.021994038293035603
225,0.015231377693140652
226,0.036886817945287455
227,0.0005954672444533351
228,0.0029434484052362365
229,0.0
230,0.0002709595998627627
231,0.0
232,0.0024433626735603266
233,0.015103489703718234
234,0.0
235,0.0
237,0.004844315894000992
238,0.0
240,0.0
241,0.00013585207088801583
242,0.0
243,0.0
244,0.014029876297842265
245,0.0
246,0.0
247,0.0
248,0.0
249,0.005745613018051361
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.021994038293035603
258,0.0
259,0.004237784818019999
260,0.0026613257346740217
261,0.0
262,0.004118636621196417
263,0.0
264,0.0
265,0.0
266,0.01834600334601477
267,0.0
268,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.004853342887081124
275,0.001101193513107377
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0013092488172916944
281,0.01764582524645588
283,0.0
284,0.021994038293035603
286,0.03759161502339876
287,0.0005966523847161395
288,0.0
289,0.0
290,0.0
291,0.0012189469486276173
292,0.0
293,0.0013092488172916944
294,0.0
295,0.0
296,0.018537409675838987
297,0.010000938739512962
298,0.0
299,0.0025898576932233573
300,0.0014568304211629677
302,0.026194053414140113
303,0.0
304,0.0
305,0.0
306,0.004118636621196417
307,0.0
308,0.0
309,0.0
310,0.0020839694044942577
311,0.0
312,0.0
313,0.0031811072217906087
314,0.0020951325729500676
315,0.0
316,0.0
317,0.005152583225634464
318,0.0
319,0.0
320,0.0
321,0.023398280491637804
322,0.0008650566753665655
323,0.0024433626735603266
324,0.0
325,0.0
326,0.0
327,0.018548448021302545
328,0.01907533866699772
329,0.0002709595998627627
330,0.02564649368601712
331,0.0
332,0.04950448547252951
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0029434484052362365
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0003572223314347111
344,0.0
345,0.0
